Node Number,Thread Number,Spatial Distribution,Temporal Distribution,T/R,Network Response Time,Channel Utilization,Processor Utilization 
1,6,1,1,0.9,1995.584056,0.975781,0.554223
1,6,1,1,1,2231.332104,0.976563,0.500716
1,8,1,1,0.1,770.69059,0.212621,0.948599
1,8,1,1,0.2,912.798464,0.405694,0.947834
1,8,1,1,0.3,976.231023,0.583672,0.937209
1,8,1,1,0.4,1072.740772,0.753958,0.9347
1,8,1,1,0.5,1316.231632,0.898741,0.908685
1,8,1,1,0.6,1768.407896,0.817017,0.96125
1,8,1,1,0.7,1945.345426,0.714026,0.973316
1,8,1,1,0.8,2341.989053,0.631147,0.977292
1,8,1,1,0.9,2665.358418,0.561694,0.97836
1,8,1,1,1,2976.70983,0.507582,0.978299
1,10,1,1,0.1,1073.734018,0.21375,0.95829
1,10,1,1,0.2,1076.528275,0.404392,0.944783
1,10,1,1,0.3,1124.130178,0.588906,0.947848
1,10,1,1,0.4,1243.009661,0.761146,0.942199
1,10,1,1,0.5,1663.612858,0.915278,0.928141
1,10,1,1,0.6,2074.953492,0.967448,0.828573
1,10,1,1,0.7,2591.180139,0.975929,0.720587
1,10,1,1,0.8,2931.702541,0.978125,0.636664
1,10,1,1,0.9,3325.676426,0.979688,0.567883
1,10,1,1,1,3710.484756,0.979774,0.513848
1,4,3,1,0.1,0.52921,607.869882,0.828573
1,4,3,1,0.2,0.633802,902.966929,0.824084
1,4,3,1,0.3,0.718047,1042.409722,0.795685
1,4,3,1,0.4,0.778299,1219.612435,0.739597
1,4,3,1,0.5,0.822266,1202.936709,0.695053
1,4,3,1,0.6,0.846927,1688.953232,0.62477
1,4,3,1,0.7,0.84079,1904.053095,0.541929
1,4,3,1,0.8,0.857222,2191.738331,0.487871
1,4,3,1,0.9,0.86,2752.001151,0.43976
1,4,3,1,1,0.865191,2895.323131,0.400416
1,6,3,1,0.1,991.654608,0.469149,0.927886
1,6,3,1,0.2,1179.806258,0.594844,0.914674
1,6,3,1,0.3,1270.946206,0.713385,0.897633
1,6,3,1,0.4,1463.837946,0.8075,0.867957
1,6,3,1,0.5,1548.167651,0.869141,0.80322
1,6,3,1,0.6,2433.831986,0.901146,0.715007
1,6,3,1,0.7,2761.361123,0.92033,0.637811
1,6,3,1,0.8,2950.973036,0.921806,0.561209
1,6,3,1,0.9,3475.612812,0.923828,0.503471
1,6,3,1,1,3914.442104,0.933333,0.460363
1,8,3,1,0.1,1172.376429,0.407578,0.94723
1,8,3,1,0.2,1191.328365,0.558073,0.936275
1,8,3,1,0.3,1408.075927,0.701823,0.938896
1,8,3,1,0.4,1544.60147,0.82066,0.916288
1,8,3,1,0.5,2257.446611,0.901259,0.863297
1,8,3,1,0.6,2694.984699,0.938385,0.771295
1,8,3,1,0.7,3618.974981,0.952474,0.680886
1,8,3,1,0.8,3980.472255,0.95875,0.606569
1,8,3,1,0.9,4515.318353,0.956406,0.538424
1,8,3,1,1,4284.404858,0.964583,0.492775
1,10,3,1,0.1,1317.539043,0.385946,0.956543
1,10,3,1,0.2,1602.749624,0.549549,0.964797
1,10,3,1,0.3,1632.929179,0.700755,0.958799
1,10,3,1,0.4,2470.414099,0.945997,0.833681
1,10,3,1,0.5,2488.393811,0.924262,0.90626
1,10,3,1,0.6,3466.244423,0.954688,0.799148
1,10,3,1,0.7,3810.631711,0.967908,0.705812
1,10,3,1,0.8,4583.919059,0.975486,0.628214
1,10,3,1,0.9,4622.484513,0.978594,0.561943
1,10,3,1,1,5919.152636,0.980382,0.509802
1,4,4,0,0.1,138.918151,0.438524,0.816425
1,4,4,0,0.2,221.239958,0.56026,0.802371
1,4,4,0,0.3,343.33257,0.670156,0.77942
1,4,4,0,0.4,365.704783,0.732153,0.731806
1,4,4,0,0.5,564.244978,0.794358,0.681066
1,4,4,0,0.6,746.187279,0.837708,0.624804
1,4,4,0,0.7,834.650499,0.854826,0.560888
1,4,4,0,0.8,1027.134803,0.837014,0.484743
1,4,4,0,0.9,1160.935215,0.864141,0.448374
1,4,4,0,1,1183.696475,0.858073,0.404992
1,6,4,0,0.1,136.31725,0.392665,0.849913
1,6,4,0,0.2,207.247489,0.570139,0.874955
1,6,4,0,0.3,337.491171,0.663828,0.850958
1,6,4,0,0.4,571.173224,0.843573,0.791423
1,6,4,0,0.5,778.427756,0.863238,0.786026
1,6,4,0,0.6,1001.625231,0.894688,0.710901
1,6,4,0,0.7,1288.482455,0.888915,0.611163
1,6,4,0,0.8,1391.636666,0.890695,0.539734
1,6,4,0,0.9,1614.588983,0.905625,0.491085
1,6,4,0,1,1778.766636,0.90599,0.443039
1,8,4,0,0.1,150.551879,0.408776,0.896803
1,8,4,0,0.2,298.356074,0.552934,0.89971
1,8,4,0,0.3,417.879955,0.676302,0.888416
1,8,4,0,0.4,662.942924,0.799896,0.887363
1,8,4,0,0.5,928.672341,0.882118,0.83289
1,8,4,0,0.6,1280.691436,0.914948,0.744839
1,8,4,0,0.7,1418.79659,0.934853,0.663184
1,8,4,0,0.8,1819.996806,0.933472,0.584847
1,8,4,0,0.9,2326.923643,0.933203,0.519696
1,8,4,0,1,2386.83458,0.936372,0.47054
1,10,4,0,0.1,154.900342,0.402378,0.914353
1,10,4,0,0.2,263.461036,0.54651,0.910044
1,10,4,0,0.3,461.111618,0.678776,0.915063
1,10,4,0,0.4,855.129063,0.905039,0.805937
1,10,4,0,0.5,1121.475113,0.909071,0.8794
1,10,4,0,0.6,1589.911663,0.938854,0.776228
1,10,4,0,0.7,1754.958119,0.947917,0.682158
1,10,4,0,0.8,2352.552511,0.950903,0.604104
1,10,4,0,0.9,2547.77951,0.950547,0.539017
1,10,4,0,1,3207.772882,0.952865,0.489624
1,4,2,0,0.1,162.560751,0.325694,0.418621
1,4,2,0,0.2,253.825208,0.371337,0.414236
1,4,2,0,0.3,489.94064,0.428255,0.393893
1,4,2,0,0.4,742.056173,0.495729,0.380225
1,4,2,0,0.5,1040.479968,0.489323,0.341765
1,4,2,0,0.6,1264.44738,0.560521,0.318841
1,4,2,0,0.7,1752.237646,0.506832,0.268535
1,4,2,0,0.8,1975.005819,0.524236,0.242966
1,4,2,0,0.9,2368.824948,0.522734,0.221539
1,4,2,0,1,2066.717469,0.509462,0.202377
1,6,2,0,0.1,224.450947,0.335625,0.452819
1,6,2,0,0.2,383.315579,0.400469,0.416491
1,6,2,0,0.3,638.387938,0.426172,0.40539
1,6,2,0,0.4,897.947716,0.516215,0.398521
1,6,2,0,0.5,1466.091771,0.589583,0.397512
1,6,2,0,0.6,1973.63609,0.584635,0.347587
1,6,2,0,0.7,2272.76014,0.603385,0.324751
1,6,2,0,0.8,2652.015506,0.559028,0.268258
1,6,2,0,0.9,3195.861695,0.571719,0.254752
1,6,2,0,1,2541.630367,0.545833,0.230011
1,8,2,0,0.1,163.801348,0.393082,0.526524
1,8,2,0,0.2,347.974872,0.416753,0.473054
1,8,2,0,0.3,571.060156,0.517943,0.447295
1,8,2,0,0.4,921.813348,0.526667,0.439256
1,8,2,0,0.5,1409.149715,0.617231,0.445936
1,8,2,0,0.6,2162.578816,0.578646,0.371522
1,8,2,0,0.7,2620.790918,0.567231,0.332085
1,8,2,0,0.8,2574.649117,0.564792,0.290999
1,8,2,0,0.9,3392.124868,0.604687,0.282314
1,8,2,0,1,3030.629787,0.611024,0.255619
1,10,2,0,0.1,158.319629,0.382066,0.503035
1,10,2,0,0.2,314.127942,0.435399,0.482426
1,10,2,0,0.3,509.908916,0.49987,0.479445
1,10,2,0,0.4,785.114697,0.577292,0.484361
1,10,2,0,0.5,1418.223088,0.557726,0.426271
1,10,2,0,0.6,1783.194698,0.631094,0.406267
1,10,2,0,0.7,2152.341855,0.631884,0.365252
1,10,2,0,0.8,2949.189101,0.683056,0.338151
1,10,2,0,0.9,3349.417336,0.640625,0.305455
1,10,2,0,1,3407.799491,0.636458,0.286714
1,4,1,0,0.1,26.502746,0.137726,0.590286
1,4,1,0,0.2,54.064068,0.252205,0.570239
1,4,1,0,0.3,89.413975,0.347969,0.54004
1,4,1,0,0.4,161.584607,0.439653,0.530152
1,4,1,0,0.5,346.177863,0.522092,0.517356
1,4,1,0,0.6,587.624428,0.555313,0.464993
1,4,1,0,0.7,688.446953,0.570269,0.412242
1,4,1,0,0.8,956.721115,0.57632,0.365082
1,4,1,0,0.9,789.555446,0.5825,0.330783
1,4,1,0,1,1230.215474,0.587587,0.300045
1,6,1,0,0.1,21.445301,0.151797,0.648118
1,6,1,0,0.2,63.349039,0.274809,0.623425
1,6,1,0,0.3,125.447427,0.375703,0.590987
1,6,1,0,0.4,307.187608,0.445208,0.537327
1,6,1,0,0.5,572.849075,0.563368,0.560995
1,6,1,0,0.6,832.185981,0.572552,0.485852
1,6,1,0,0.7,861.210192,0.584792,0.427971
1,6,1,0,0.8,1276.382477,0.591875,0.381173
1,6,1,0,0.9,1607.041811,0.602969,0.346758
1,6,1,0,1,1756.065814,0.611111,0.318419
1,8,1,0,0.1,23.996447,0.164679,0.706503
1,8,1,0,0.2,57.535982,0.287014,0.652849
1,8,1,0,0.3,136.146416,0.385208,0.604986
1,8,1,0,0.4,363.675685,0.47691,0.578066
1,8,1,0,0.5,639.629146,0.566536,0.567715
1,8,1,0,0.6,911.954125,0.585833,0.501516
1,8,1,0,0.7,1519.366224,0.604358,0.446351
1,8,1,0,0.8,1694.42824,0.612639,0.398993
1,8,1,0,0.9,2037.679313,0.612188,0.356831
1,8,1,0,1,1525.505283,0.622222,0.329844
1,10,1,0,0.1,28.755788,0.170156,0.727582
1,10,1,0,0.2,58.842202,0.299306,0.6822
1,10,1,0,0.3,134.41607,0.39862,0.625697
1,10,1,0,0.4,405.903473,0.502083,0.61155
1,10,1,0,0.5,943.784262,0.571736,0.574306
1,10,1,0,0.6,1459.009166,0.595417,0.51484
1,10,1,0,0.7,1425.640396,0.606241,0.452304
1,10,1,0,0.8,2160.995515,0.621597,0.410658
1,10,1,0,0.9,1831.873466,0.629453,0.372704
1,10,1,0,1,2296.19935,0.647483,0.346742
1,4,3,0,0.1,145.151796,0.444939,0.787703
1,4,3,0,0.2,206.818555,0.542031,0.77177
1,4,3,0,0.3,324.83453,0.667812,0.75457
1,4,3,0,0.4,384.912161,0.732431,0.720497
1,4,3,0,0.5,538.891334,0.803776,0.673265
1,4,3,0,0.6,677.867406,0.827969,0.600602
1,4,3,0,0.7,834.448158,0.824323,0.521786
1,4,3,0,0.8,972.773241,0.854861,0.476747
1,4,3,0,0.9,915.343493,0.859922,0.431657
1,4,3,0,1,1050.177944,0.872309,0.397266
1,6,3,0,0.1,162.362566,0.421649,0.877179
1,6,3,0,0.2,237.913709,0.533646,0.851833
1,6,3,0,0.3,420.847188,0.686354,0.877377
1,6,3,0,0.4,489.414091,0.780104,0.835567
1,6,3,0,0.5,707.337345,0.853733,0.781463
1,6,3,0,0.6,877.694794,0.902344,0.715298
1,6,3,0,0.7,939.017256,0.912431,0.63048
1,6,3,0,0.8,1273.250027,0.926181,0.566405
1,6,3,0,0.9,1571.410199,0.929844,0.50749
1,6,3,0,1,1494.136836,0.935243,0.462423
1,8,3,0,0.1,188.94189,0.392778,0.915108
1,8,3,0,0.2,265.838034,0.55316,0.918623
1,8,3,0,0.3,460.266911,0.678542,0.898435
1,8,3,0,0.4,542.198431,0.816181,0.90209
1,8,3,0,0.5,854.724177,0.899957,0.859304
1,8,3,0,0.6,1288.185116,0.935104,0.767585
1,8,3,0,0.7,1234.085264,0.939957,0.671155
1,8,3,0,0.8,1769.297096,0.953681,0.601854
1,8,3,0,0.9,2006.590809,0.957344,0.539759
1,8,3,0,1,1974.496396,0.95651,0.486748
1,10,3,0,0.1,164.755251,0.394523,0.930484
1,10,3,0,0.2,277.98685,0.550712,0.942199
1,10,3,0,0.3,532.570733,0.695234,0.941612
1,10,3,0,0.4,662.714307,0.822292,0.927346
1,10,3,0,0.5,937.078417,0.915582,0.888311
1,10,3,0,0.6,1368.201165,0.955,0.797411
1,10,3,0,0.7,1779.316082,0.969549,0.706503
1,10,3,0,0.8,2193.119031,0.973681,0.627709
1,10,3,0,0.9,2686.459284,0.974687,0.560011
1,10,3,0,1,2766.021133,0.978386,0.50823
0,4,4,1,0.1,547.570481,0.607049,0.837166
0,4,4,1,0.2,571.093509,0.684306,0.799354
0,4,4,1,0.3,693.270291,0.779792,0.852871
0,4,4,1,0.4,832.28476,0.795,0.763965
0,4,4,1,0.5,1194.286232,0.827951,0.729444
0,4,4,1,0.6,1261.044228,0.857292,0.625584
0,4,4,1,0.7,1657.765373,0.878403,0.560313
0,4,4,1,0.8,1827.375029,0.899167,0.531492
0,4,4,1,0.9,1999.516709,0.909375,0.476232
0,4,4,1,1,1698.50628,0.876389,0.423975
0,6,4,1,0.1,652.441763,0.515521,0.914756
0,6,4,1,0.2,1003.826707,0.664167,0.91516
0,6,4,1,0.3,811.330775,0.762292,0.904898
0,6,4,1,0.4,1177.194924,0.829028,0.861362
0,6,4,1,0.5,1003.120135,0.867535,0.792027
0,6,4,1,0.6,1718.83999,0.892083,0.705315
0,6,4,1,0.7,2071.088303,0.918021,0.637113
0,6,4,1,0.8,2622.311601,0.920833,0.565409
0,6,4,1,0.9,2646.366771,0.90375,0.505995
0,6,4,1,1,3239.210381,0.901736,0.455567
0,8,4,1,0.1,936.18684,0.484097,0.90698
0,8,4,1,0.2,1092.624144,0.631389,0.919247
0,8,4,1,0.3,1317.559372,0.741562,0.923054
0,8,4,1,0.4,858.284943,0.834861,0.907902
0,8,4,1,0.5,1832.015352,0.90191,0.845062
0,8,4,1,0.6,2248.767269,0.907083,0.733655
0,8,4,1,0.7,2360.612364,0.927986,0.661952
0,8,4,1,0.8,3390.422991,0.932778,0.586487
0,8,4,1,0.9,4020.823301,0.945937,0.541788
0,8,4,1,1,4475.082423,0.945486,0.490409
0,10,4,1,0.1,870.068191,0.479271,0.955848
0,10,4,1,0.2,1582.542014,0.601667,0.935056
0,10,4,1,0.3,1680.9416,0.724479,0.932695
0,10,4,1,0.4,1727.842054,0.828333,0.915236
0,10,4,1,0.5,1396.347726,0.923437,0.882814
0,10,4,1,0.6,2956.160892,0.937083,0.771937
0,10,4,1,0.7,3774.548086,0.955694,0.687306
0,10,4,1,0.8,3667.614018,0.959167,0.617007
0,10,4,1,0.9,4910.532583,0.955625,0.551504
0,10,4,1,1,4559.7941,0.954514,0.503592
0,4,2,1,0.1,625.949413,0.458889,0.622777
0,4,2,1,0.2,695.613489,0.653055,0.714232
0,4,2,1,0.3,868.535961,0.602188,0.563058
0,4,2,1,0.4,953.962094,0.7125,0.61408
0,4,2,1,0.5,928.606772,0.728646,0.58883
0,4,2,1,0.6,224.875168,0.797917,0.531492
0,4,2,1,0.7,1737.167893,0.795035,0.475336
0,4,2,1,0.8,2154.044741,0.798333,0.413104
0,4,2,1,0.9,2543.927978,0.770938,0.361952
0,4,2,1,1,2655.729283,0.735069,0.335961
0,6,2,1,0.1,952.678288,0.503472,0.793967
0,6,2,1,0.2,1027.855103,0.575347,0.779392
0,6,2,1,0.3,1096.862164,0.758229,0.771373
0,6,2,1,0.4,1295.636006,0.771528,0.737937
0,6,2,1,0.5,1653.366,0.800521,0.649532
0,6,2,1,0.6,1992.715915,0.786875,0.580466
0,6,2,1,0.7,2644.567425,0.867951,0.546245
0,6,2,1,0.8,2587.353042,0.835833,0.493581
0,6,2,1,0.9,3509.19345,0.806562,0.427316
0,6,2,1,1,3916.523672,0.830556,0.407034
0,8,2,1,0.1,904.356536,0.46625,0.788644
0,8,2,1,0.2,1319.209855,0.626042,0.8471
0,8,2,1,0.3,1445.395821,0.669583,0.796617
0,8,2,1,0.4,1403.904639,0.792361,0.787135
0,8,2,1,0.5,1815.336111,0.826563,0.752581
0,8,2,1,0.6,2731.8835,0.895833,0.686232
0,8,2,1,0.7,3389.835282,0.818854,0.556637
0,8,2,1,0.8,2778.215451,0.872222,0.533445
0,8,2,1,0.9,4555.877628,0.867813,0.470176
0,8,2,1,1,3816.021591,0.862847,0.436457
0,10,2,1,0.1,1440.760876,0.495833,0.849374
0,10,2,1,0.2,1783.877387,0.591667,0.853076
0,10,2,1,0.3,1738.892586,0.696979,0.85156
0,10,2,1,0.4,2299.360993,0.7575,0.805596
0,10,2,1,0.5,2401.750804,0.859722,0.79196
0,10,2,1,0.6,1925.507111,0.815833,0.638244
0,10,2,1,0.7,3768.54491,0.892743,0.622735
0,10,2,1,0.8,3922.378045,0.890556,0.553766
0,10,2,1,0.9,5365.009141,0.87875,0.489242
0,10,2,1,1,4530.380751,0.921875,0.477834
0,4,1,1,0.1,250.716906,0.238472,0.88365
0,4,1,1,0.2,488.081072,0.405417,0.860418
0,4,1,1,0.3,307.441712,0.556979,0.843287
0,4,1,1,0.4,587.814337,0.701389,0.832914
0,4,1,1,0.5,495.701487,0.801562,0.7821
0,4,1,1,0.6,545.004812,0.863125,0.714232
0,4,1,1,0.7,775.542157,0.900278,0.647217
0,4,1,1,0.8,754.715206,0.913611,0.581954
0,4,1,1,0.9,1159.859915,0.922188,0.527778
0,4,1,1,1,1484.799775,0.929167,0.480408
0,6,1,1,0.1,399.020319,0.244687,0.908802
0,6,1,1,0.2,490.268575,0.424653,0.90698
0,6,1,1,0.3,503.392515,0.587396,0.896247
0,6,1,1,0.4,583.281742,0.739306,0.880803
0,6,1,1,0.5,990.952492,0.854861,0.843151
0,6,1,1,0.6,812.773944,0.900833,0.755583
0,6,1,1,0.7,976.441463,0.922882,0.671474
0,6,1,1,0.8,1535.476028,0.931389,0.600924
0,6,1,1,0.9,2112.035842,0.935625,0.539897
0,6,1,1,1,2353.144075,0.936458,0.490711
0,8,1,1,0.1,731.390336,0.241944,0.908662
0,8,1,1,0.2,639.486244,0.430347,0.916754
0,8,1,1,0.3,754.063759,0.599896,0.914468
0,8,1,1,0.4,582.75072,0.770833,0.923701
0,8,1,1,0.5,1279.921264,0.874132,0.86701
0,8,1,1,0.6,1086.897059,0.922083,0.781098
0,8,1,1,0.7,1298.358239,0.932361,0.684499
0,8,1,1,0.8,2054.4057,0.935833,0.610051
0,8,1,1,0.9,2671.651809,0.939687,0.548603
0,8,1,1,1,2101.883654,0.940625,0.498233
0,10,1,1,0.1,905.729476,0.246562,0.940461
0,10,1,1,0.2,665.273676,0.422361,0.902923
0,10,1,1,0.3,767.296404,0.601042,0.908622
0,10,1,1,0.4,1343.881897,0.755694,0.902704
0,10,1,1,0.5,1210.30457,0.888194,0.888585
0,10,1,1,0.6,1927.057396,0.927708,0.789
0,10,1,1,0.7,1766.06318,0.939653,0.694901
0,10,1,1,0.8,2053.676488,0.943056,0.618812
0,10,1,1,0.9,3501.850233,0.94375,0.555489
0,10,1,1,1,2146.969058,0.944097,0.505846
0,4,3,1,0.1,367.493895,0.64684,0.86733
0,4,3,1,0.2,626.860874,0.702569,0.840152
0,4,3,1,0.3,713.864201,0.768854,0.824914
0,4,3,1,0.4,796.514082,0.785833,0.75785
0,4,3,1,0.5,982.481297,0.832118,0.714316
0,4,3,1,0.6,1135.886412,0.844583,0.632461
0,4,3,1,0.7,1418.882864,0.839028,0.551504
0,4,3,1,0.8,1501.070594,0.860556,0.49651
0,4,3,1,0.9,1577.887682,0.860937,0.452939
0,4,3,1,1,2065.619811,0.865972,0.420933
0,6,3,1,0.1,702.425075,0.588333,0.936473
0,6,3,1,0.2,802.773783,0.662917,0.900764
0,6,3,1,0.3,789.924743,0.76625,0.90722
0,6,3,1,0.4,1036.468694,0.83375,0.862785
0,6,3,1,0.5,1389.333044,0.895833,0.807842
0,6,3,1,0.6,1570.51253,0.895417,0.701786
0,6,3,1,0.7,2252.575091,0.929931,0.639351
0,6,3,1,0.8,2400.1869,0.931944,0.573968
0,6,3,1,0.9,2904.991727,0.918437,0.511543
0,6,3,1,1,2394.23185,0.929167,0.47255
0,8,3,1,0.1,949.857036,0.498715,0.9513
0,8,3,1,0.2,1170.297092,0.639167,0.936808
0,8,3,1,0.3,760.049126,0.720729,0.931204
0,8,3,1,0.4,1314.509873,0.859583,0.937835
0,8,3,1,0.5,1676.812651,0.919097,0.864236
0,8,3,1,0.6,2381.463659,0.944792,0.780074
0,8,3,1,0.7,2149.237046,0.965174,0.687981
0,8,3,1,0.8,2470.214123,0.9625,0.61379
0,8,3,1,0.9,3485.25522,0.96375,0.549407
0,8,3,1,1,4123.286673,0.961111,0.50007
0,10,3,1,0.1,968.314249,0.46934,0.974802
0,10,3,1,0.2,1142.913841,0.638125,0.980224
0,10,3,1,0.3,1483.32136,0.748021,0.971452
0,10,3,1,0.4,1635.900805,0.86,0.948199
0,10,3,1,0.5,2016.290249,0.944792,0.909553
0,10,3,1,0.6,2373.16626,0.968958,0.806512
0,10,3,1,0.7,1934.740695,0.964201,0.703002
0,10,3,1,0.8,2980.861045,0.982778,0.635748
0,10,3,1,0.9,3372.189353,0.990312,0.574563
0,10,3,1,1,5015.644768,0.965972,0.510356
0,4,4,0,0.1,97.039249,0.669375,0.805631
0,4,4,0,0.2,189.728209,0.63875,0.711402
0,4,4,0,0.3,278.035569,0.779375,0.764771
0,4,4,0,0.4,313.655513,0.784306,0.714662
0,4,4,0,0.5,478.87206,0.838368,0.702304
0,4,4,0,0.6,527.958591,0.853958,0.625735
0,4,4,0,0.7,799.296875,0.910729,0.567802
0,4,4,0,0.8,962.201487,0.869167,0.495292
0,4,4,0,0.9,1060.153725,0.9,0.470201
0,4,4,0,1,1212.852502,0.853819,0.416087
0,6,4,0,0.1,135.013123,0.617708,0.898346
0,6,4,0,0.2,217.297108,0.639236,0.834869
0,6,4,0,0.3,309.237367,0.786042,0.884136
0,6,4,0,0.4,84.688896,0.806806,0.81023
0,6,4,0,0.5,619.696092,0.851389,0.762009
0,6,4,0,0.6,707.930583,0.89375,0.690723
0,6,4,0,0.7,1193.248324,0.889097,0.599696
0,6,4,0,0.8,1271.03947,0.831111,0.506488
0,6,4,0,0.9,1189.9045,0.890938,0.491041
0,6,4,0,1,1811.012822,0.916667,0.456873
0,8,4,0,0.1,125.438472,0.559549,0.895793
0,8,4,0,0.2,218.046743,0.667986,0.917185
0,8,4,0,0.3,258.929993,0.753542,0.896828
0,8,4,0,0.4,513.782316,0.837778,0.862535
0,8,4,0,0.5,738.685759,0.873785,0.803943
0,8,4,0,0.6,1144.697168,0.916042,0.739532
